id,Date,Full date,Year,Month
21721,21,2010-06-21,2010,06
21722,22,2010-06-22,2010,06
21723,23,2010-06-23,2010,06
21724,24,2010-06-24,2010,06
21725,25,2010-06-25,2010,06
21726,26,2010-06-26,2010,06
21727,27,2010-06-27,2010,06
21728,28,2010-06-28,2010,06
21729,29,2010-06-29,2010,06
21730,30,2010-06-30,2010,06
21731,01,2010-07-01,2010,07
21732,02,2010-07-02,2010,07
21733,03,2010-07-03,2010,07
21734,04,2010-07-04,2010,07
21735,05,2010-07-05,2010,07
21736,06,2010-07-06,2010,07
21737,07,2010-07-07,2010,07
21738,08,2010-07-08,2010,07
21739,09,2010-07-09,2010,07
21740,10,2010-07-10,2010,07
21741,11,2010-07-11,2010,07
21742,12,2010-07-12,2010,07
21743,13,2010-07-13,2010,07
21744,14,2010-07-14,2010,07
21745,15,2010-07-15,2010,07
21746,16,2010-07-16,2010,07
21747,17,2010-07-17,2010,07
21748,18,2010-07-18,2010,07
21749,19,2010-07-19,2010,07
21750,20,2010-07-20,2010,07
21751,21,2010-07-21,2010,07
21752,22,2010-07-22,2010,07
21753,23,2010-07-23,2010,07
21754,24,2010-07-24,2010,07
21755,25,2010-07-25,2010,07
21756,26,2010-07-26,2010,07
21757,27,2010-07-27,2010,07
21758,28,2010-07-28,2010,07
21759,29,2010-07-29,2010,07
21760,30,2010-07-30,2010,07
21761,31,2010-07-31,2010,07
21762,01,2010-08-01,2010,08
21763,02,2010-08-02,2010,08
21764,03,2010-08-03,2010,08
21765,04,2010-08-04,2010,08
21766,05,2010-08-05,2010,08
21767,06,2010-08-06,2010,08
21768,07,2010-08-07,2010,08
21769,08,2010-08-08,2010,08
21770,09,2010-08-09,2010,08
21771,10,2010-08-10,2010,08
21772,11,2010-08-11,2010,08
21773,12,2010-08-12,2010,08
21774,13,2010-08-13,2010,08
21775,14,2010-08-14,2010,08
21776,15,2010-08-15,2010,08
21777,16,2010-08-16,2010,08
21778,17,2010-08-17,2010,08
21779,18,2010-08-18,2010,08
21780,19,2010-08-19,2010,08
21781,20,2010-08-20,2010,08
21782,21,2010-08-21,2010,08
21783,22,2010-08-22,2010,08
21784,23,2010-08-23,2010,08
21785,24,2010-08-24,2010,08
21786,25,2010-08-25,2010,08
21787,26,2010-08-26,2010,08
21788,27,2010-08-27,2010,08
21789,28,2010-08-28,2010,08
21790,29,2010-08-29,2010,08
21791,30,2010-08-30,2010,08
21792,31,2010-08-31,2010,08
21793,01,2010-09-01,2010,09
21794,02,2010-09-02,2010,09
21795,03,2010-09-03,2010,09
21796,04,2010-09-04,2010,09
21797,05,2010-09-05,2010,09
21798,06,2010-09-06,2010,09
21799,07,2010-09-07,2010,09
21800,08,2010-09-08,2010,09
21801,09,2010-09-09,2010,09
21802,10,2010-09-10,2010,09
21803,11,2010-09-11,2010,09
21804,12,2010-09-12,2010,09
21805,13,2010-09-13,2010,09
21806,14,2010-09-14,2010,09
21807,15,2010-09-15,2010,09
21808,16,2010-09-16,2010,09
21809,17,2010-09-17,2010,09
21810,18,2010-09-18,2010,09
21811,19,2010-09-19,2010,09
21812,20,2010-09-20,2010,09
21813,21,2010-09-21,2010,09
21814,22,2010-09-22,2010,09
21815,23,2010-09-23,2010,09
21816,24,2010-09-24,2010,09
21817,25,2010-09-25,2010,09
21818,26,2010-09-26,2010,09
21819,27,2010-09-27,2010,09
21820,28,2010-09-28,2010,09
21821,29,2010-09-29,2010,09
21822,30,2010-09-30,2010,09
21823,01,2010-10-01,2010,10
21824,02,2010-10-02,2010,10
21825,03,2010-10-03,2010,10
21826,04,2010-10-04,2010,10
21827,05,2010-10-05,2010,10
21828,06,2010-10-06,2010,10
21829,07,2010-10-07,2010,10
21830,08,2010-10-08,2010,10
21831,09,2010-10-09,2010,10
21832,10,2010-10-10,2010,10
21833,11,2010-10-11,2010,10
21834,12,2010-10-12,2010,10
21835,13,2010-10-13,2010,10
21836,14,2010-10-14,2010,10
21837,15,2010-10-15,2010,10
21838,16,2010-10-16,2010,10
21839,17,2010-10-17,2010,10
21840,18,2010-10-18,2010,10
21841,19,2010-10-19,2010,10
21842,20,2010-10-20,2010,10
21843,21,2010-10-21,2010,10
21844,22,2010-10-22,2010,10
21845,23,2010-10-23,2010,10
21846,24,2010-10-24,2010,10
21847,25,2010-10-25,2010,10
21848,26,2010-10-26,2010,10
21849,27,2010-10-27,2010,10
21850,28,2010-10-28,2010,10
21851,29,2010-10-29,2010,10
21852,30,2010-10-30,2010,10
21853,31,2010-10-31,2010,10
21854,01,2010-11-01,2010,11
21855,02,2010-11-02,2010,11
21856,03,2010-11-03,2010,11
21857,04,2010-11-04,2010,11
21858,05,2010-11-05,2010,11
21859,06,2010-11-06,2010,11
21860,07,2010-11-07,2010,11
21861,08,2010-11-08,2010,11
21862,09,2010-11-09,2010,11
21863,10,2010-11-10,2010,11
21864,11,2010-11-11,2010,11
21865,12,2010-11-12,2010,11
21866,13,2010-11-13,2010,11
21867,14,2010-11-14,2010,11
21868,15,2010-11-15,2010,11
21869,16,2010-11-16,2010,11
21870,17,2010-11-17,2010,11
21871,18,2010-11-18,2010,11
21872,19,2010-11-19,2010,11
21873,20,2010-11-20,2010,11
21874,21,2010-11-21,2010,11
21875,22,2010-11-22,2010,11
21876,23,2010-11-23,2010,11
21877,24,2010-11-24,2010,11
21878,25,2010-11-25,2010,11
21879,26,2010-11-26,2010,11
21880,27,2010-11-27,2010,11
21881,28,2010-11-28,2010,11
21882,29,2010-11-29,2010,11
21883,30,2010-11-30,2010,11
21884,01,2010-12-01,2010,12
21885,02,2010-12-02,2010,12
21886,03,2010-12-03,2010,12
21887,04,2010-12-04,2010,12
21888,05,2010-12-05,2010,12
21889,06,2010-12-06,2010,12
21890,07,2010-12-07,2010,12
21891,08,2010-12-08,2010,12
21892,09,2010-12-09,2010,12
21893,10,2010-12-10,2010,12
21894,11,2010-12-11,2010,12
21895,12,2010-12-12,2010,12
21896,13,2010-12-13,2010,12
21897,14,2010-12-14,2010,12
21898,15,2010-12-15,2010,12
21899,16,2010-12-16,2010,12
21900,17,2010-12-17,2010,12
21901,18,2010-12-18,2010,12
21902,19,2010-12-19,2010,12
21903,20,2010-12-20,2010,12
21904,21,2010-12-21,2010,12
21905,22,2010-12-22,2010,12
21906,23,2010-12-23,2010,12
21907,24,2010-12-24,2010,12
21908,25,2010-12-25,2010,12
21909,26,2010-12-26,2010,12
21910,27,2010-12-27,2010,12
21911,28,2010-12-28,2010,12
21912,29,2010-12-29,2010,12
21913,30,2010-12-30,2010,12
21914,31,2010-12-31,2010,12
21915,01,2011-01-01,2011,01
21916,02,2011-01-02,2011,01
21917,03,2011-01-03,2011,01
21918,04,2011-01-04,2011,01
21919,05,2011-01-05,2011,01
21920,06,2011-01-06,2011,01
21921,07,2011-01-07,2011,01
21922,08,2011-01-08,2011,01
21923,09,2011-01-09,2011,01
21924,10,2011-01-10,2011,01
21925,11,2011-01-11,2011,01
21926,12,2011-01-12,2011,01
21927,13,2011-01-13,2011,01
21928,14,2011-01-14,2011,01
21929,15,2011-01-15,2011,01
21930,16,2011-01-16,2011,01
21931,17,2011-01-17,2011,01
21932,18,2011-01-18,2011,01
21933,19,2011-01-19,2011,01
21934,20,2011-01-20,2011,01
21935,21,2011-01-21,2011,01
21936,22,2011-01-22,2011,01
21937,23,2011-01-23,2011,01
21938,24,2011-01-24,2011,01
21939,25,2011-01-25,2011,01
21940,26,2011-01-26,2011,01
21941,27,2011-01-27,2011,01
21942,28,2011-01-28,2011,01
21943,29,2011-01-29,2011,01
21944,30,2011-01-30,2011,01
21945,31,2011-01-31,2011,01
21946,01,2011-02-01,2011,02
21947,02,2011-02-02,2011,02
21948,03,2011-02-03,2011,02
21949,04,2011-02-04,2011,02
21950,05,2011-02-05,2011,02
21951,06,2011-02-06,2011,02
21952,07,2011-02-07,2011,02
21953,08,2011-02-08,2011,02
21954,09,2011-02-09,2011,02
21955,10,2011-02-10,2011,02
21956,11,2011-02-11,2011,02
21957,12,2011-02-12,2011,02
21958,13,2011-02-13,2011,02
21959,14,2011-02-14,2011,02
21960,15,2011-02-15,2011,02
21961,16,2011-02-16,2011,02
21962,17,2011-02-17,2011,02
21963,18,2011-02-18,2011,02
21964,19,2011-02-19,2011,02
21965,20,2011-02-20,2011,02
21966,21,2011-02-21,2011,02
21967,22,2011-02-22,2011,02
21968,23,2011-02-23,2011,02
21969,24,2011-02-24,2011,02
21970,25,2011-02-25,2011,02
21971,26,2011-02-26,2011,02
21972,27,2011-02-27,2011,02
21973,28,2011-02-28,2011,02
21974,01,2011-03-01,2011,03
21975,02,2011-03-02,2011,03
21976,03,2011-03-03,2011,03
21977,04,2011-03-04,2011,03
21978,05,2011-03-05,2011,03
21979,06,2011-03-06,2011,03
21980,07,2011-03-07,2011,03
21981,08,2011-03-08,2011,03
21982,09,2011-03-09,2011,03
21983,10,2011-03-10,2011,03
21984,11,2011-03-11,2011,03
21985,12,2011-03-12,2011,03
21986,13,2011-03-13,2011,03
21987,14,2011-03-14,2011,03
21988,15,2011-03-15,2011,03
21989,16,2011-03-16,2011,03
21990,17,2011-03-17,2011,03
21991,18,2011-03-18,2011,03
21992,19,2011-03-19,2011,03
21993,20,2011-03-20,2011,03
21994,21,2011-03-21,2011,03
21995,22,2011-03-22,2011,03
21996,23,2011-03-23,2011,03
21997,24,2011-03-24,2011,03
21998,25,2011-03-25,2011,03
21999,26,2011-03-26,2011,03
22000,27,2011-03-27,2011,03
22001,28,2011-03-28,2011,03
22002,29,2011-03-29,2011,03
22003,30,2011-03-30,2011,03
22004,31,2011-03-31,2011,03
22005,01,2011-04-01,2011,04
22006,02,2011-04-02,2011,04
22007,03,2011-04-03,2011,04
22008,04,2011-04-04,2011,04
22009,05,2011-04-05,2011,04
22010,06,2011-04-06,2011,04
22011,07,2011-04-07,2011,04
22012,08,2011-04-08,2011,04
22013,09,2011-04-09,2011,04
22014,10,2011-04-10,2011,04
22015,11,2011-04-11,2011,04
22016,12,2011-04-12,2011,04
22017,13,2011-04-13,2011,04
22018,14,2011-04-14,2011,04
22019,15,2011-04-15,2011,04
22020,16,2011-04-16,2011,04
22021,17,2011-04-17,2011,04
22022,18,2011-04-18,2011,04
22023,19,2011-04-19,2011,04
22024,20,2011-04-20,2011,04
22025,21,2011-04-21,2011,04
22026,22,2011-04-22,2011,04
22027,23,2011-04-23,2011,04
22028,24,2011-04-24,2011,04
22029,25,2011-04-25,2011,04
22030,26,2011-04-26,2011,04
22031,27,2011-04-27,2011,04
22032,28,2011-04-28,2011,04
22033,29,2011-04-29,2011,04
22034,30,2011-04-30,2011,04
22035,01,2011-05-01,2011,05
22036,02,2011-05-02,2011,05
22037,03,2011-05-03,2011,05
22038,04,2011-05-04,2011,05
22039,05,2011-05-05,2011,05
22040,06,2011-05-06,2011,05
22041,07,2011-05-07,2011,05
22042,08,2011-05-08,2011,05
22043,09,2011-05-09,2011,05
22044,10,2011-05-10,2011,05
22045,11,2011-05-11,2011,05
22046,12,2011-05-12,2011,05
22047,13,2011-05-13,2011,05
22048,14,2011-05-14,2011,05
22049,15,2011-05-15,2011,05
22050,16,2011-05-16,2011,05
22051,17,2011-05-17,2011,05
22052,18,2011-05-18,2011,05
22053,19,2011-05-19,2011,05
22054,20,2011-05-20,2011,05
22055,21,2011-05-21,2011,05
22056,22,2011-05-22,2011,05
22057,23,2011-05-23,2011,05
22058,24,2011-05-24,2011,05
22059,25,2011-05-25,2011,05
22060,26,2011-05-26,2011,05
22061,27,2011-05-27,2011,05
22062,28,2011-05-28,2011,05
22063,29,2011-05-29,2011,05
22064,30,2011-05-30,2011,05
22065,31,2011-05-31,2011,05
22066,01,2011-06-01,2011,06
22067,02,2011-06-02,2011,06
22068,03,2011-06-03,2011,06
22069,04,2011-06-04,2011,06
22070,05,2011-06-05,2011,06
22071,06,2011-06-06,2011,06
22072,07,2011-06-07,2011,06
22073,08,2011-06-08,2011,06
22074,09,2011-06-09,2011,06
22075,10,2011-06-10,2011,06
22076,11,2011-06-11,2011,06
22077,12,2011-06-12,2011,06
22078,13,2011-06-13,2011,06
22079,14,2011-06-14,2011,06
22080,15,2011-06-15,2011,06
22081,16,2011-06-16,2011,06
22082,17,2011-06-17,2011,06
22083,18,2011-06-18,2011,06
22084,19,2011-06-19,2011,06
22085,20,2011-06-20,2011,06
22086,21,2011-06-21,2011,06
22087,22,2011-06-22,2011,06
22088,23,2011-06-23,2011,06
22089,24,2011-06-24,2011,06
22090,25,2011-06-25,2011,06
22091,26,2011-06-26,2011,06
22092,27,2011-06-27,2011,06
22093,28,2011-06-28,2011,06
22094,29,2011-06-29,2011,06
22095,30,2011-06-30,2011,06
22096,01,2011-07-01,2011,07
22097,02,2011-07-02,2011,07
22098,03,2011-07-03,2011,07
22099,04,2011-07-04,2011,07
22100,05,2011-07-05,2011,07
22101,06,2011-07-06,2011,07
22102,07,2011-07-07,2011,07
22103,08,2011-07-08,2011,07
22104,09,2011-07-09,2011,07
22105,10,2011-07-10,2011,07
22106,11,2011-07-11,2011,07
22107,12,2011-07-12,2011,07
22108,13,2011-07-13,2011,07
22109,14,2011-07-14,2011,07
22110,15,2011-07-15,2011,07
22111,16,2011-07-16,2011,07
22112,17,2011-07-17,2011,07
22113,18,2011-07-18,2011,07
22114,19,2011-07-19,2011,07
22115,20,2011-07-20,2011,07
22116,21,2011-07-21,2011,07
22117,22,2011-07-22,2011,07
22118,23,2011-07-23,2011,07
22119,24,2011-07-24,2011,07
22120,25,2011-07-25,2011,07
22121,26,2011-07-26,2011,07
22122,27,2011-07-27,2011,07
22123,28,2011-07-28,2011,07
22124,29,2011-07-29,2011,07
22125,30,2011-07-30,2011,07
22126,31,2011-07-31,2011,07
22127,01,2011-08-01,2011,08
22128,02,2011-08-02,2011,08
22129,03,2011-08-03,2011,08
22130,04,2011-08-04,2011,08
22131,05,2011-08-05,2011,08
22132,06,2011-08-06,2011,08
22133,07,2011-08-07,2011,08
22134,08,2011-08-08,2011,08
22135,09,2011-08-09,2011,08
22136,10,2011-08-10,2011,08
22137,11,2011-08-11,2011,08
22138,12,2011-08-12,2011,08
22139,13,2011-08-13,2011,08
22140,14,2011-08-14,2011,08
22141,15,2011-08-15,2011,08
22142,16,2011-08-16,2011,08
22143,17,2011-08-17,2011,08
22144,18,2011-08-18,2011,08
22145,19,2011-08-19,2011,08
22146,20,2011-08-20,2011,08
22147,21,2011-08-21,2011,08
22148,22,2011-08-22,2011,08
22149,23,2011-08-23,2011,08
22150,24,2011-08-24,2011,08
22151,25,2011-08-25,2011,08
22152,26,2011-08-26,2011,08
22153,27,2011-08-27,2011,08
22154,28,2011-08-28,2011,08
22155,29,2011-08-29,2011,08
22156,30,2011-08-30,2011,08
22157,31,2011-08-31,2011,08
22158,01,2011-09-01,2011,09
22159,02,2011-09-02,2011,09
22160,03,2011-09-03,2011,09
22161,04,2011-09-04,2011,09
22162,05,2011-09-05,2011,09
22163,06,2011-09-06,2011,09
22164,07,2011-09-07,2011,09
22165,08,2011-09-08,2011,09
22166,09,2011-09-09,2011,09
22167,10,2011-09-10,2011,09
22168,11,2011-09-11,2011,09
22169,12,2011-09-12,2011,09
22170,13,2011-09-13,2011,09
22171,14,2011-09-14,2011,09
22172,15,2011-09-15,2011,09
22173,16,2011-09-16,2011,09
22174,17,2011-09-17,2011,09
22175,18,2011-09-18,2011,09
22176,19,2011-09-19,2011,09
22177,20,2011-09-20,2011,09
22178,21,2011-09-21,2011,09
22179,22,2011-09-22,2011,09
22180,23,2011-09-23,2011,09
22181,24,2011-09-24,2011,09
22182,25,2011-09-25,2011,09
22183,26,2011-09-26,2011,09
22184,27,2011-09-27,2011,09
22185,28,2011-09-28,2011,09
22186,29,2011-09-29,2011,09
22187,30,2011-09-30,2011,09
22188,01,2011-10-01,2011,10
22189,02,2011-10-02,2011,10
22190,03,2011-10-03,2011,10
22191,04,2011-10-04,2011,10
22192,05,2011-10-05,2011,10
22193,06,2011-10-06,2011,10
22194,07,2011-10-07,2011,10
22195,08,2011-10-08,2011,10
22196,09,2011-10-09,2011,10
22197,10,2011-10-10,2011,10
22198,11,2011-10-11,2011,10
22199,12,2011-10-12,2011,10
22200,13,2011-10-13,2011,10
22201,14,2011-10-14,2011,10
22202,15,2011-10-15,2011,10
22203,16,2011-10-16,2011,10
22204,17,2011-10-17,2011,10
22205,18,2011-10-18,2011,10
22206,19,2011-10-19,2011,10
22207,20,2011-10-20,2011,10
22208,21,2011-10-21,2011,10
22209,22,2011-10-22,2011,10
22210,23,2011-10-23,2011,10
22211,24,2011-10-24,2011,10
22212,25,2011-10-25,2011,10
22213,26,2011-10-26,2011,10
22214,27,2011-10-27,2011,10
22215,28,2011-10-28,2011,10
22216,29,2011-10-29,2011,10
22217,30,2011-10-30,2011,10
22218,31,2011-10-31,2011,10
22219,01,2011-11-01,2011,11
22220,02,2011-11-02,2011,11
22221,03,2011-11-03,2011,11
22222,04,2011-11-04,2011,11
22223,05,2011-11-05,2011,11
22224,06,2011-11-06,2011,11
22225,07,2011-11-07,2011,11
22226,08,2011-11-08,2011,11
22227,09,2011-11-09,2011,11
22228,10,2011-11-10,2011,11
22229,11,2011-11-11,2011,11
22230,12,2011-11-12,2011,11
22231,13,2011-11-13,2011,11
22232,14,2011-11-14,2011,11
22233,15,2011-11-15,2011,11
22234,16,2011-11-16,2011,11
22235,17,2011-11-17,2011,11
22236,18,2011-11-18,2011,11
22237,19,2011-11-19,2011,11
22238,20,2011-11-20,2011,11
22239,21,2011-11-21,2011,11
22240,22,2011-11-22,2011,11
22241,23,2011-11-23,2011,11
22242,24,2011-11-24,2011,11
22243,25,2011-11-25,2011,11
22244,26,2011-11-26,2011,11
22245,27,2011-11-27,2011,11
22246,28,2011-11-28,2011,11
22247,29,2011-11-29,2011,11
22248,30,2011-11-30,2011,11
22249,01,2011-12-01,2011,12
22250,02,2011-12-02,2011,12
22251,03,2011-12-03,2011,12
22252,04,2011-12-04,2011,12
22253,05,2011-12-05,2011,12
22254,06,2011-12-06,2011,12
22255,07,2011-12-07,2011,12
22256,08,2011-12-08,2011,12
22257,09,2011-12-09,2011,12
22258,10,2011-12-10,2011,12
22259,11,2011-12-11,2011,12
22260,12,2011-12-12,2011,12
22261,13,2011-12-13,2011,12
22262,14,2011-12-14,2011,12
22263,15,2011-12-15,2011,12
22264,16,2011-12-16,2011,12
22265,17,2011-12-17,2011,12
22266,18,2011-12-18,2011,12
22267,19,2011-12-19,2011,12
22268,20,2011-12-20,2011,12
22269,21,2011-12-21,2011,12
22270,22,2011-12-22,2011,12
22271,23,2011-12-23,2011,12
22272,24,2011-12-24,2011,12
22273,25,2011-12-25,2011,12
22274,26,2011-12-26,2011,12
22275,27,2011-12-27,2011,12
22276,28,2011-12-28,2011,12
22277,29,2011-12-29,2011,12
22278,30,2011-12-30,2011,12
22279,31,2011-12-31,2011,12
22280,01,2012-01-01,2012,01
22281,02,2012-01-02,2012,01
22282,03,2012-01-03,2012,01
22283,04,2012-01-04,2012,01
22284,05,2012-01-05,2012,01
22285,06,2012-01-06,2012,01
22286,07,2012-01-07,2012,01
22287,08,2012-01-08,2012,01
22288,09,2012-01-09,2012,01
22289,10,2012-01-10,2012,01
22290,11,2012-01-11,2012,01
22291,12,2012-01-12,2012,01
22292,13,2012-01-13,2012,01
22293,14,2012-01-14,2012,01
22294,15,2012-01-15,2012,01
22295,16,2012-01-16,2012,01
22296,17,2012-01-17,2012,01
22297,18,2012-01-18,2012,01
22298,19,2012-01-19,2012,01
22299,20,2012-01-20,2012,01
22300,21,2012-01-21,2012,01
22301,22,2012-01-22,2012,01
22302,23,2012-01-23,2012,01
22303,24,2012-01-24,2012,01
22304,25,2012-01-25,2012,01
22305,26,2012-01-26,2012,01
22306,27,2012-01-27,2012,01
22307,28,2012-01-28,2012,01
22308,29,2012-01-29,2012,01
22309,30,2012-01-30,2012,01
22310,31,2012-01-31,2012,01
22311,01,2012-02-01,2012,02
22312,02,2012-02-02,2012,02
22313,03,2012-02-03,2012,02
22314,04,2012-02-04,2012,02
22315,05,2012-02-05,2012,02
22316,06,2012-02-06,2012,02
22317,07,2012-02-07,2012,02
22318,08,2012-02-08,2012,02
22319,09,2012-02-09,2012,02
22320,10,2012-02-10,2012,02
22321,11,2012-02-11,2012,02
22322,12,2012-02-12,2012,02
22323,13,2012-02-13,2012,02
22324,14,2012-02-14,2012,02
22325,15,2012-02-15,2012,02
22326,16,2012-02-16,2012,02
22327,17,2012-02-17,2012,02
22328,18,2012-02-18,2012,02
22329,19,2012-02-19,2012,02
22330,20,2012-02-20,2012,02
22331,21,2012-02-21,2012,02
22332,22,2012-02-22,2012,02
22333,23,2012-02-23,2012,02
22334,24,2012-02-24,2012,02
22335,25,2012-02-25,2012,02
22336,26,2012-02-26,2012,02
22337,27,2012-02-27,2012,02
22338,28,2012-02-28,2012,02
22339,29,2012-02-29,2012,02
22340,01,2012-03-01,2012,03
22341,02,2012-03-02,2012,03
22342,03,2012-03-03,2012,03
22343,04,2012-03-04,2012,03
22344,05,2012-03-05,2012,03
22345,06,2012-03-06,2012,03
22346,07,2012-03-07,2012,03
22347,08,2012-03-08,2012,03
22348,09,2012-03-09,2012,03
22349,10,2012-03-10,2012,03
22350,11,2012-03-11,2012,03
22351,12,2012-03-12,2012,03
22352,13,2012-03-13,2012,03
22353,14,2012-03-14,2012,03
22354,15,2012-03-15,2012,03
22355,16,2012-03-16,2012,03
22356,17,2012-03-17,2012,03
22357,18,2012-03-18,2012,03
22358,19,2012-03-19,2012,03
22359,20,2012-03-20,2012,03
22360,21,2012-03-21,2012,03
22361,22,2012-03-22,2012,03
22362,23,2012-03-23,2012,03
22363,24,2012-03-24,2012,03
22364,25,2012-03-25,2012,03
22365,26,2012-03-26,2012,03
22366,27,2012-03-27,2012,03
22367,28,2012-03-28,2012,03
22368,29,2012-03-29,2012,03
22369,30,2012-03-30,2012,03
22370,31,2012-03-31,2012,03
